title,director,country,genre,year
Зависнуть в Палм-Спрингс,Макс Барбаков,США,"фантастика, романтическая комедия",2020
#живой,Чо Иль Хён,Республика Корея,"зомби-фильм, ужасы",2020
Жертва,Энди Коллер,Великобритания,ужасы,2020
Ещё по одной,Томас Винтерберг,"Дания, Нидерланды, Швеция","трагикомедия, драма",2020
Её заветное желание,Тамура Котаро,Япония,"аниме, -фильм, романтическая драма",2020
Либерея: Охотники за сокровищами,Глеб Орлов,Россия,"боевик, приключения",2022
Кто там?,Виталий Дудка,Россия,триллер,2022
Ламборгини:,Роберт Мореско,"США, Италия","биографический фильм, драма",2022
Кроссовушка,Элизабет Аллен Розенбаум,США,"мюзикл, комедия",2022
Лето 1941 года,Бекбулат Шекеров,Казахстан,военный фильм,2022
Крик,"Мэтт Беттинелли-Олпин, Тайлер Джиллетт",США,слэшер,2022
Легенды «Орлёнка»,Ольга Беляева,Россия,"приключения, фэнтези, семейный, комедия",2022
Лесной разбойник,Михаэль Крумменахер,"Германия, Швейцария","семейный фильм, фэнтезийный фильм, детский фильм, комедия, приключенческий фильм",2022
Кусочек неба,Михаэль Кох,Швейцария,драма,2022
Крепость 2: Глаз снайпера,Джош Стернфельд,США,"триллер, боевик",2022
Красная Шапочка,"Лина Арифулина, Александр Баршак, Артём Аксёненко, [1]",Россия,"семейный, фэнтези, приключения",2022
Костюм,Грэм Мур,США,"криминал, драма",2022
Король-львёнок,"Давид Моро, [d]",Франция,"семейный фильм, приключенческий фильм",2022
Корсаж,"Мари Крейцер, [d]","Германия, Австрия, Люксембург, Франция","драматический фильм, биографический фильм, [3], исторический фильм",2022
Королевы династии Цин,Эшли Маккензи,Канада,драма,2022
Королева-воин,"Джина Принс-Байтвуд, [d], [1], Любовь и баскетбол, Тайная жизнь пчёл, Бессмертная гвардия, Королева-воин","США, [1]","[1], исторический фильм, эпический фильм, драматический фильм, боевик",2022
Корабль в Пусан,"Ким Хонсон, [d], [2]","Республика Корея, [2]","[2], криминальный фильм, [1], научно-фантастический фильм, фильм ужасов, боевик",2022
Кома,Бертран Бонелло,Франция,драма,2022
Колено Ахед,Надав Лапид,"Франция, Израиль, Германия",драматический фильм,2021
Код 355,Саймон Кинберг,США,"[d], шпионский фильм, боевик",2022
Клондайк,Марина Эр Горбач,"Украина, Турция",драма,2022
Когда ты закончишь спасать мир,Джесси Айзенберг,США,комедийная драма,2022
Клон,Райли Стернс,"США, Финляндия","фильм-триллер, научно-фантастический фильм",2022
Клерки 3,Кевин Смит,США,комедия,2022
Клинок 47 ронинов,Рон Юань,США,"фэнтези, боевик, драма",2022
Клаустрофобы. Долина дьявола,"Эмерсон Мур, [d]",США,фильм-триллер,2021
Кит,Даррен Аронофски,США,психологическая драма,2022
Кими,"Стивен Содерберг, Секс, ложь и видео, Кафка, Царь горы, Там, внутри, Анатомия Грея, Шизополис, Вне поля зрения, Англичанин, Эрин Брокович, Траффик, 11 друзей Оушена, Во всей красе, Солярис, Эрос, 12 друзей Оушена, Пузырь, Хороший немец, 13 друзей Оушена, Че, Девушка по вызову, Информатор, Всё в порядке, Заражение, Нокаут, Супер Майк, Побочный эффект, За канделябрами, Удача Логана, Не в себе, Птица высокого полёта, Прачечная, Пусть говорят, Без резких движений, Кими, Супер Майк: Последний танец, Присутствие, Чёрный мешок",США,"триллер, криминальный фильм",2022
Как насчёт любви?,Клаус Менцель,США,"драматический фильм, романтический фильм",2022
Как жена,"Джеймс Берд, [d]",США,"триллер, научно-фантастический",2022
Ирония судьбы в Голливуде,Марюс Вайсберг,США,романтическая комедия,2022
Империя света,Сэм Мендес,"Великобритания, США",мелодрама,2022
Изумительный Морис,Тоби Генкель,"Германия, Великобритания","приключения, фэнтези, семейный, комедия",2022
Идеальное алиби,Нил Лабут,США,эротический триллер,2022
Игра теней,"Марк Уильямс, [d]","США, Китай, [1], Австралия, [1]","фильм-триллер, [1], [2], боевик",2022
Игра агентов,Грант С. Джонсон,США,"триллер, боевик",2022
Зловредный,Стивен ЛаМорт,США,"слэшер, Рождественский",2022
Иа,Ежи Сколимовский,"Польша, [5]","роуд-муви, драматический фильм",2022
Земун,Эдуард Жолнин,Россия,мистический неовестерн,2022
Земля Алькаррас,Карла Симон,"Испания, Италия",[d],2022
Здоровый человек,Пётр Тодоровский-мл.,Россия,драма,2022
Звоните Джейн,"Филлис Надж, [d]",США,драматический фильм,2022
Зверь,Бальтасар Кормакур,"США, Исландия","фильм-выживание, боевик",2022
Звёзды по обмену,Алексей Даруга,Украина,"семейный, комедия",2022
Зачарованная 2,Адам Шенкман,США,"фэнтезийная комедия, мюзикл",2022
Затерянный город,"Аарон Ни, Адам Ни, ru",США,"экшн, комедия, приключения",2022
Заклинатели слонов,"Kartiki Gonsalves, [d]",Индия,документальный фильм,2022
Заклятье: Спуск к дьяволу,Брендан Малдауни,Ирландия,фильм ужасов о сверхъестественном,2022
Закат,Мишель Франко,"Франция, Мексика, Швеция",драматический фильм,2021
Заговор в Каире,Тарик Салех,Швеция,политический триллер,2022
Заговор в Голливуде,Эдвард Дрэйк,США,"триллер, боевик",2022
Завтра это сегодня,Начо Г. Велилья,Испания,"Комедия, Путешествия во времени",2022
За пивом!,Питер Фаррелли,США,"военный фильм, драматический фильм",2022
"За рекой, в тени деревьев","Паула Ортис, [d]",США,[d],2022
З/Л/О 99,Flying Lotus,США,"ужасы, найденная плёнка",2022
Жить,"Оливер Херманус, [d]",Великобритания,драматический фильм,2022
Жестокая ночь,Томми Виркола,США,,2022
Женская судьба,Дильмурод Масаидов,Узбекистан,драма,2022
Жена Чайковского,Кирилл Серебренников,Россия,драма,2022
Жажда золота,Энтони Хэйес,Австралия,фильм-триллер,2022
Y2K,"Кайл Муни, [d], [1]",США,"[1], комедийный фильм",
Ёлки 9,Александра Лупашко,Россия,комедия,2022
,,,,
